"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"4605",52.978,24.679,2016,"Chelonia mydas",111.32,13,27.86,38.67
"4606",52.98,24.695,2016,"Chelonia mydas",111.32,13,27.86,38.67
"4607",53.046,24.692,2016,"Chelonia mydas",111.32,13,27.91,38.69
"4608",53.057,24.631,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4609",53.017,24.641,2016,"Chelonia mydas",111.32,6,27.91,38.67
"4610",52.998,24.649,2016,"Chelonia mydas",111.32,9,27.89,38.66
"4611",53.081,24.656,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4612",53.02,24.665,2016,"Chelonia mydas",111.32,11,27.91,38.67
"4613",53.037,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4614",53.034,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4615",53.033,24.632,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4616",53.029,24.635,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4617",53.012,24.637,2016,"Chelonia mydas",111.32,8,27.91,38.67
"4618",53.001,24.659,2016,"Chelonia mydas",111.32,11,27.91,38.67
"4619",53.004,24.625,2016,"Chelonia mydas",111.32,7,27.91,38.67
"4620",53.123,24.648,2016,"Chelonia mydas",111.32,4,27.93,38.71
"4621",53.086,24.633,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4622",53.169,24.654,2016,"Chelonia mydas",111.32,10,27.96,38.73
"4623",53.111,24.665,2016,"Chelonia mydas",111.32,8,27.93,38.71
"4624",53.037,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4625",53.045,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4626",53.04,24.632,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4627",53.044,24.636,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4628",53.045,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4629",53.043,24.634,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4630",53.038,24.636,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4631",53.049,24.629,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4632",53.044,24.628,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4633",53.061,24.626,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4634",53.064,24.637,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4635",53.053,24.63,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4636",53.036,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4637",53.037,24.631,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4638",53.035,24.64,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4639",53.053,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4640",53.081,24.609,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4641",52.99,24.64,2016,"Chelonia mydas",111.32,9,27.89,38.66
"4642",53.032,24.642,2016,"Chelonia mydas",111.32,4,27.91,38.67
"4643",52.994,24.657,2016,"Chelonia mydas",111.32,11,27.89,38.66
"4644",53.015,24.637,2016,"Chelonia mydas",111.32,8,27.91,38.67
"4645",53.025,24.633,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4646",53.027,24.63,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4647",53.033,24.63,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4648",53.111,24.628,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4649",53.045,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4650",53.032,24.637,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4651",53.029,24.637,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4652",53.061,24.588,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4653",53.15,24.507,2016,"Chelonia mydas",111.32,14,27.94,38.67
"4654",53.036,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4655",53.08,24.623,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4656",53.086,24.616,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4657",53.043,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4658",53.034,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4659",53.033,24.638,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4660",53.038,24.638,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4661",53.023,24.631,2016,"Chelonia mydas",111.32,5,27.91,38.67
"4662",53.028,24.638,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4663",53.047,24.638,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4664",53.052,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4665",53.057,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4666",53.046,24.645,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4667",53.053,24.65,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4668",53.041,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4669",53.047,24.634,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4670",53.043,24.646,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4671",53.039,24.637,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4672",53.044,24.651,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4673",53.044,24.64,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4674",53.038,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4675",53.04,24.647,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4676",53.035,24.64,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4677",53.04,24.649,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4678",53.043,24.642,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4679",53.039,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4680",53.046,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4681",53.046,24.645,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4682",53.045,24.642,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4683",53.046,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4684",53.039,24.645,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4685",53.039,24.64,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4686",53.041,24.652,2016,"Chelonia mydas",111.32,6,27.91,38.67
"4687",53.04,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4688",53.032,24.654,2016,"Chelonia mydas",111.32,9,27.91,38.67
"4689",53.037,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4690",53.057,24.619,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4691",53.044,24.63,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4692",53.036,24.656,2016,"Chelonia mydas",111.32,6,27.91,38.67
"4693",53.049,24.629,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4694",53.056,24.636,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4695",53.038,24.666,2016,"Chelonia mydas",111.32,9,27.91,38.67
"4696",53.122,24.624,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4697",53.093,24.623,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4698",53.044,24.632,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4699",53.034,24.638,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4700",53.045,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4701",53.044,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4702",53.036,24.634,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4703",53.035,24.639,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4704",53.045,24.639,2016,"Chelonia mydas",111.32,2,27.91,38.67
