"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
10436097,-21.3,-8.9,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-07-09","1998-07-09",2,1,1,,,,"5002:381:392","POLYGON((-21.2 -8.9,-21.2 -9,-21.3 -9,-21.3 -8.9,-21.2 -8.9))"
10436096,-21.2,-8.8,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-15","1998-06-15",2,1,1,,,,"5002:381:382","POLYGON((-21.2 -8.8,-21.2 -8.9,-21.3 -8.9,-21.3 -8.8,-21.2 -8.8))"
10436091,-21.2,-8.8,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-04","1997-07-04",1,1,1,,,,"5002:381:372","POLYGON((-21.2 -8.7,-21.2 -8.8,-21.3 -8.8,-21.3 -8.7,-21.2 -8.7))"
10435996,-21.2,-7.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-17","1998-06-17",2,1,1,,,,"5002:371:352","POLYGON((-21.2 -7.5,-21.2 -7.6,-21.3 -7.6,-21.3 -7.5,-21.2 -7.5))"
10435989,-21.3,-7.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-14","1997-07-14",1,1,1,,,,"5002:371:142","POLYGON((-21.2 -7.4,-21.2 -7.5,-21.3 -7.5,-21.3 -7.4,-21.2 -7.4))"
10436669,-21.1,-10.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-11","1998-06-11",1,1,1,,,,"5102:101:111","POLYGON((-21.1 -10.1,-21.1 -10.2,-21.2 -10.2,-21.2 -10.1,-21.1 -10.1))"
10436207,-21.2,-9.9,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-16","1998-06-16",1,1,1,,,,"5002:391:381","POLYGON((-21.1 -9.8,-21.1 -9.9,-21.2 -9.9,-21.2 -9.8,-21.1 -9.8))"
10436192,-21.1,-9.0,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-05-23","1997-07-13",2,2,1,,,,"5002:391:101","POLYGON((-21.1 -9,-21.1 -9.1,-21.2 -9.1,-21.2 -9,-21.1 -9))"
10436095,-21.2,-8.8,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-04","1997-07-04",1,1,1,,,,"5002:381:381","POLYGON((-21.1 -8.8,-21.1 -8.9,-21.2 -8.9,-21.2 -8.8,-21.1 -8.8))"
10436089,-21.1,-8.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-16","1998-06-16",2,1,1,,,,"5002:381:351","POLYGON((-21.1 -8.5,-21.1 -8.6,-21.2 -8.6,-21.2 -8.5,-21.1 -8.5))"
10436077,-21.2,-8.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-13","1998-06-13",1,1,1,,,,"5002:381:131","POLYGON((-21.1 -8.3,-21.1 -8.4,-21.2 -8.4,-21.2 -8.3,-21.1 -8.3))"
10435988,-21.2,-7.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-14","1997-07-14",1,1,1,,,,"5002:371:141","POLYGON((-21.1 -7.4,-21.1 -7.5,-21.2 -7.5,-21.2 -7.4,-21.1 -7.4))"
10436668,-21.0,-10.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-11","1998-06-11",1,1,1,,,,"5102:101:100","POLYGON((-21 -10,-21 -10.1,-21.1 -10.1,-21.1 -10,-21 -10))"
