sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2011-04-02T17:48:49Z,4.74144,61.64011,Juvenile,3557,29.07,35.57,Loggerhead
Caretta caretta,2011-03-24T01:47:19Z,2.47637,62.95267,Juvenile,3081,29.25,35.26,Loggerhead
Chelonia mydas,2016-08-19T02:46:00Z,25.763,55.87,NA,2,28.13,38.64,Green
Chelonia mydas,2017-04-24T13:41:00Z,24.175,53.066,NA,2,27.96,38.56,Green
Chelonia mydas,2016-09-03T10:59:00Z,25.746,55.865,NA,4,NA,NA,Green
Caretta caretta,2012-03-25T07:29:45Z,9.24906,50.73883,Juvenile,41,26.21,35.65,Loggerhead
Caretta caretta,2012-05-21T18:44:24Z,15.4623,55.525,Juvenile,2856,27,36.09,Loggerhead
Chelonia mydas,2019-05-19T04:50:00Z,24.531,53.073,NA,4,27.93,38.65,Green
Caretta caretta,2011-05-22T05:47:51Z,15.91069,55.90662,Juvenile,3010,26.91,36.1,Loggerhead
Caretta caretta,2012-01-10T03:43:09Z,10.13854,56.65506,Juvenile,4377,27.33,35.93,Loggerhead
Chelonia mydas,2017-06-03T05:36:00Z,24.65,53.058,NA,2,27.91,38.67,Green
Chelonia mydas,2017-05-22T03:40:00Z,25.787,55.841,NA,6,28.13,38.64,Green
Caretta caretta,2011-04-05T09:16:30Z,5.04333,61.24312,Juvenile,3373,29,35.6,Loggerhead
Chelonia mydas,2019-06-23T13:51:00Z,24.601,52.871,NA,9,27.86,38.64,Green
Chelonia mydas,2018-08-07T10:28:00Z,22.557,59.794,NA,149,26.95,36.64,Green
Chelonia mydas,2019-05-30T06:35:00Z,24.409,53.202,NA,5,28,38.67,Green
Caretta caretta,2012-04-10T15:26:17Z,9.14899,50.75767,Juvenile,85,26.23,35.64,Loggerhead
Chelonia mydas,2018-04-19T11:37:00Z,24.58,53.07,NA,2,27.93,38.65,Green
Chelonia mydas,2018-10-23T07:16:00Z,24.574,53.345,NA,2,28.02,38.74,Green
Chelonia mydas,2016-10-16T17:44:00Z,24.64,53.051,NA,2,27.91,38.67,Green
Caretta caretta,2011-04-06T17:03:07Z,5.15195,60.89386,Juvenile,3212,28.97,35.62,Loggerhead
Caretta caretta,2011-03-30T01:59:58Z,0.09687,43.08072,Juvenile,93,26.9,34.78,Loggerhead
Chelonia mydas,2016-06-09T12:15:00Z,24.502,52.895,NA,9,27.88,38.59,Green
Caretta caretta,2012-06-16T03:06:38Z,19.24612,62.03865,Juvenile,3583,27.08,36.35,Loggerhead
Chelonia mydas,2018-11-09T12:21:00Z,24.515,53.422,NA,9,28.02,38.77,Green
Caretta caretta,2011-06-13T17:58:33Z,1.36613,57.37783,Juvenile,4670,28.81,35.34,Loggerhead
Caretta caretta,2011-11-27T14:54:14Z,0.84895,53.21067,Juvenile,5092,28.16,35.37,Loggerhead
Caretta caretta,2011-04-07T21:17:49Z,15.79316,53.97098,Juvenile,2677,26.95,36.1,Loggerhead
Caretta caretta,2011-11-15T18:11:25Z,2.022,47.766,Juvenile,4241,27.29,35.34,Loggerhead
Caretta caretta,2012-06-11T00:47:41Z,19.56073,60.93596,Juvenile,3447,26.9,36.27,Loggerhead
Caretta caretta,2011-04-17T10:01:39Z,7.25878,58.8789,Juvenile,3383,28.32,35.77,Loggerhead
Caretta caretta,2011-04-06T13:55:34Z,15.66035,53.87044,Juvenile,2586,26.94,36.1,Loggerhead
Chelonia mydas,2018-08-27T05:21:00Z,22.501,59.829,NA,25,26.95,36.64,Green
Caretta caretta,2012-05-26T01:56:52Z,17.1332,56.06876,Juvenile,3143,26.18,36.1,Loggerhead
Chelonia mydas,2016-11-19T13:49:00Z,20.587,58.943,NA,12,25.98,36.04,Green
Caretta caretta,2012-05-30T18:48:52Z,17.81203,57.72806,Juvenile,1394,26.27,36.14,Loggerhead
Chelonia mydas,2016-11-08T14:08:00Z,24.083,53.69,NA,34,27.97,38.76,Green
Caretta caretta,2012-01-12T14:38:29Z,7.88517,50.0328,Juvenile,32,26.32,35.54,Loggerhead
Caretta caretta,2011-02-26T08:33:05Z,15.15483,53.36399,Juvenile,2309,26.91,36.08,Loggerhead
