,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
134,1498_875897,Eretmochelys imbricata,2017-12-07T07:42:59/2017-12-08T10:36:31,2017-12-07T07:42:59/2017-12-08T10:36:31,25.5,56.5,111319.49,1,Subadult,Unknown,87,13077,28.48,36.85
135,1255_769662,Eretmochelys imbricata,2010-05-17T19:03:50/2011-01-22T13:26:04,2010-05-17T19:03:50/2011-01-22T13:26:04,24.5,59.5,111319.49,2,Adult,Female,1920,99544,27.66,36.72
136,1255_770419,Eretmochelys imbricata,2010-07-27T13:20:04/2010-11-07T13:24:35,2010-07-27T13:20:04/2010-11-07T13:24:35,23.5,47.5,111319.49,2,Adult,Female,-563,-354640,NA,NA
137,1282_217416,Eretmochelys imbricata,2012-05-13T09:06:15/2013-09-22T13:51:14,2012-05-13T09:06:15/2013-09-22T13:51:14,25.5,53.5,111319.49,13,Adult,Female,30,69682,28.04,38.52
138,1282_282844,Eretmochelys imbricata,2012-04-23T14:11:15/2014-06-18T09:07:38,2012-04-23T14:11:15/2014-06-18T09:07:38,20.5,58.5,111319.49,14,Adult,Female,-1,-3895,26.03,35.94
139,802_855025,Eretmochelys imbricata,2012-06-30T06:47:55/2016-07-02T18:00:36,2012-06-30T06:47:55/2016-07-02T18:00:36,25.5,55.5,111319.49,21,Juvenile;Subadult,Unknown,-1,151,NA,NA
140,1255_767995,Eretmochelys imbricata,2010-08-05T16:06:31/2010-12-12T15:59:38,2010-08-05T16:06:31/2010-12-12T15:59:38,26.5,59.5,111319.49,2,Adult,Female,-1064,-106906,NA,NA
141,1257_58630,Eretmochelys imbricata,2011-04-29T19:07:51/2011-04-29T19:07:51,2011-04-29T19:07:51/2011-04-29T19:07:51,22.5,61.5,111319.49,1,Adult,Female,3188,170852,26.78,36.46
142,1255_770409,Eretmochelys imbricata,2010-11-01T08:44:24/2010-11-01T08:44:24,2010-11-01T08:44:24/2010-11-01T08:44:24,25.5,46.5,111319.49,1,Adult,Female,-734,-330535,NA,NA
143,1257_78774,Eretmochelys imbricata,2011-04-28T08:39:34/2011-09-16T18:34:45,2011-04-28T08:39:34/2011-09-16T18:34:45,25.5,51.5,111319.49,6,Adult,Female,2,1190,27.23,38.29
144,1257_70303,Eretmochelys imbricata,2011-04-26T19:57:07/2011-10-22T17:03:57,2011-04-26T19:57:07/2011-10-22T17:03:57,26.5,54.5,111319.49,2,Adult,Female,25,10239,27.98,37.47
145,1257_59929,Eretmochelys imbricata,2011-04-15T14:05:14/2011-04-19T13:20:54,2011-04-15T14:05:14/2011-04-19T13:20:54,24.5,58.5,111319.49,2,Adult,Female;Male,2104,80547,28.14,36.78
